Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2020-08-24,124.5290756225586,223.23622131347656,97.25614166259766,178.27000427246094,136.61705017089844,208.4600067138672,40.09146499633789,80.14787292480469,130.69000244140625,42.40790939331055,200.25830078125,276.2264404296875,154.31556701660156,110.08463287353516,46.82252502441406,146.44561767578125,95.42781066894531,45.42388916015625,204.2943572998047,154.0780792236328,76.7886734008789,210.43406677246094,110.2760238647461,132.8983917236328,110.23819732666016,301.3289489746094,204.11862182617188,55.04521179199219,37.016109466552734,127.84243774414062
2020-08-25,123.50747680664062,235.22390747070312,96.98197937011719,174.72999572753906,136.10598754882812,216.0500030517578,39.882354736328125,79.16441345214844,129.7899932861328,41.92056655883789,198.96405029296875,275.62921142578125,159.3119354248047,109.17369842529297,47.098854064941406,146.35897827148438,95.8474349975586,45.3670768737793,204.32318115234375,153.6729278564453,77.02239227294922,213.1717071533203,109.9604721069336,133.42611694335938,110.92898559570312,304.6267395019531,205.78985595703125,54.9066047668457,36.79255676269531,127.16104888916016
2020-08-26,125.18705749511719,237.08126831054688,96.34555053710938,171.89999389648438,136.76170349121094,272.32000732421875,40.15799331665039,77.923583984375,132.17999267578125,42.610206604003906,200.1424102783203,281.2164001464844,160.0671844482422,108.76200103759766,47.213199615478516,146.58999633789062,94.5027084350586,45.60380172729492,205.38970947265625,154.4266815185547,76.89654541015625,217.78038024902344,109.98018646240234,132.78326416015625,108.9333724975586,301.3094482421875,207.9258575439453,54.94356155395508,36.01943588256836,127.22917938232422
2020-08-27,123.6905288696289,239.5735626220703,99.41020202636719,174.1999969482422,138.24664306640625,276.32000732421875,40.196014404296875,78.04307556152344,133.72999572753906,42.4446907043457,202.97230529785156,278.0375061035156,160.7256317138672,109.18244934082031,47.070274353027344,147.24449157714844,97.6117935180664,45.67008972167969,203.88119506835938,154.59628295898438,77.14824676513672,223.12765502929688,109.29977416992188,132.61056518554688,112.42568969726562,304.09014892578125,208.68734741210938,54.91584396362305,36.64352798461914,133.001708984375
2020-08-28,123.49015808105469,239.86732482910156,100.39910888671875,175.8000030517578,138.4973907470703,271.1000061035156,40.1104736328125,78.70484161376953,135.5399932861328,42.99556350708008,200.6156768798828,275.78338623046875,163.0398406982422,109.55033874511719,48.051692962646484,147.8797607421875,98.01234436035156,47.18516540527344,206.49468994140625,156.0849609375,76.99542999267578,225.4221649169922,110.97492980957031,133.1478729248047,111.18804168701172,306.7244873046875,213.31539916992188,54.75876235961914,36.103275299072266,136.57424926757812
2020-08-31,127.677978515625,240.05690002441406,99.46894836425781,171.82000732421875,137.2245330810547,272.6499938964844,40.129478454589844,77.142333984375,131.8699951171875,42.12724304199219,199.07066345214844,274.57928466796875,160.299560546875,108.00872802734375,48.54717254638672,147.6583709716797,95.55178833007812,46.901092529296875,206.35939025878906,153.59756469726562,76.65382385253906,222.09364318847656,110.5796127319336,132.72569274902344,111.33193969726562,304.94873046875,209.6366729736328,54.76799774169922,35.41400146484375,135.16275024414062
2020-09-01,132.7637176513672,237.72569274902344,100.33057403564453,172.10000610351562,140.8308868408203,281.25,39.94888687133789,76.36106872558594,133.5500030517578,44.134639739990234,199.6439666748047,275.4461975097656,162.64280700683594,108.0875473022461,48.39472198486328,145.8392333984375,95.50409698486328,46.51285171508789,205.55722045898438,155.274658203125,75.89871215820312,223.80715942382812,113.49506378173828,132.58177185058594,110.03672790527344,305.2218933105469,210.9815673828125,54.66634750366211,34.240360260009766,143.67066955566406
2020-09-02,130.0130615234375,244.60556030273438,102.22028350830078,174.77999877929688,143.93582153320312,276.69000244140625,40.319576263427734,76.46217346191406,135.38999938964844,45.95529556274414,204.09432983398438,278.11895751953125,167.00009155273438,112.2744140625,49.78586196899414,148.0626220703125,96.9441909790039,48.47298049926758,208.97850036621094,159.71243286132812,78.14608001708984,228.1204071044922,115.4321060180664,134.81735229492188,112.71353149414062,312.45172119140625,214.0768280029297,55.93229293823242,34.62226486206055,143.7582550048828
2020-09-03,119.60411834716797,234.93014526367188,102.27902221679688,168.77000427246094,141.5155029296875,265.010009765625,38.92236328125,75.62577056884766,133.24000549316406,45.18035125732422,201.68450927734375,265.9463806152344,161.0258026123047,109.00726318359375,48.013580322265625,143.94308471679688,96.63900756835938,47.8006706237793,206.6300048828125,156.6973876953125,76.85160064697266,213.98904418945312,111.52836608886719,132.65853881835938,110.66992950439453,308.5392761230469,206.6403045654297,56.0062141418457,34.5477409362793,140.70162963867188
2020-09-04,119.68328094482422,235.39447021484375,103.46376037597656,171.0500030517578,142.884765625,254.6999969482422,38.79880142211914,75.3040771484375,131.99000549316406,45.37641906738281,204.96884155273438,261.1335754394531,161.40342712402344,107.1240463256836,47.71820068359375,143.0190887451172,98.72763061523438,48.3309440612793,204.62940979003906,156.18861389160156,76.62686157226562,210.9855499267578,111.0836410522461,132.37069702148438,111.84044647216797,304.4120788574219,202.38803100585938,55.88608932495117,34.3614501953125,139.0370635986328
