Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DOW,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
02/01/2020,73.78591156,222.9131775,121.9882431,331.3485718,141.7667236,166.9900055,45.23390961,107.1788559,,148.1999969,223.5440979,208.9447021,171.8677063,114.3396225,56.97569275,137.7292938,131.0479889,51.15386963,190.4579315,164.9223175,81.41466522,156.9243774,100.2509155,116.1977539,130.1939392,282.9369202,188.1251221,54.62427139,53.32906342,114.2966995
03/01/2020,73.06856537,221.3998413,120.7766037,330.7919006,139.7983856,166.1699982,44.4958992,106.8081589,,146.5,220.9301147,208.2503357,170.032959,113.4277344,56.28268814,136.1347198,129.3185883,50.87479782,189.7844696,163.502121,80.71586609,154.9704132,99.97626495,115.4162521,129.7299957,280.0737,186.6289673,54.04269028,53.32906342,113.2876816
06/01/2020,73.65079498,223.0988464,120.2531662,331.7660828,139.7042084,173.4499969,44.65470886,106.4462738,,145.6499939,223.1911011,209.2301025,168.7495728,113.2250977,56.12348938,135.964859,129.2158051,50.85618591,191.9187012,163.6578674,81.06083679,155.3709412,99.88798523,115.5763245,129.8720093,282.0179443,186.2253723,53.92637253,53.78941345,113.0570526
07/01/2020,73.30440521,221.0006409,119.6231155,335.2851563,137.8583374,176,44.36510849,105.086998,,145.6999969,224.6602783,207.8603516,168.8446808,113.3010864,55.18700027,136.7951813,127.0190582,50.46548462,192.2032776,162.9982147,78.90251923,153.954361,99.83892822,114.8607254,127.968956,280.3155212,185.7332458,53.32689285,53.51861954,112.0096054
08/01/2020,74.48360443,221.1677246,121.6877594,329.4100952,139.0826263,177.3300018,44.39312744,103.8866043,,145.3999939,226.825882,210.9708252,168.9872437,114.2467422,55.22446823,136.7763367,128.009903,50.55850601,195.3144836,165.4995117,78.37178802,156.4065704,99.6133194,115.3503494,129.3417969,286.2257996,188.9125977,53.42531586,50.39542007,111.6252289
09/01/2020,76.06570435,221.8269196,123.8880844,334.350708,138.7341461,179.6000061,44.2062912,103.7189178,,144.8300018,231.4433136,214.2049713,170.232605,115.4541245,55.5335083,137.1820221,128.4773254,51.47945023,197.6289368,166.0217896,79.06174469,158.3605652,99.54466248,116.61203,130.2980652,284.6006775,190.221756,53.20381927,49.35736465,112.7783737
10/01/2020,76.23766327,221.2049103,123.3743591,327.968689,137.622879,180.1999969,44.02878952,102.774498,,144.6199951,230.9758453,213.2822876,169.8618317,115.4119034,55.19636917,136.8706818,127.1966858,51.65618896,196.6044922,165.3529205,79.19443512,157.6278076,98.97572327,116.7250137,128.3003235,285.4809875,190.7336121,53.3303833,48.94213867,111.8366394
13/01/2020,77.86642456,219.9608002,124.5956879,328.2669067,138.2727051,183.8500061,44.81352234,102.9686737,,143.8800049,233.9332733,212.4451904,172.3240204,115.3359146,55.80508804,137.4745178,128.2529602,52.2143364,195.883606,165.7652283,79.17672729,159.5231628,100.2117004,117.5818253,129.0104218,276.5043335,192.2691803,53.47503662,48.79771805,111.3561554
14/01/2020,76.81496429,222.820343,124.8477325,330.3843079,138.1408386,182.1199951,44.64536285,102.6509171,,145.1999969,234.3625793,211.94104,171.5444946,114.6773453,55.65524673,138.24823,129.748642,52.09340668,196.6519318,166.1775208,79.54824066,158.3996429,100.9571838,117.4029541,129.3796692,278.8162231,192.97789,53.37559509,49.30319977,111.6444397
15/01/2020,76.48580933,224.3986511,125.8364258,327.8493958,137.0954742,181.0599976,44.85089111,102.5008621,,144.3200073,233.9332733,213.6342316,171.8106995,115.3528137,55.19636917,138.710556,127.8042603,52.74456787,198.9758606,164.7207642,80.97240448,159.4254608,100.8296661,118.5987244,130.2507324,286.7190552,196.6691437,53.42982864,49.13169479,110.7795792
16/01/2020,77.44387817,223.2845154,126.5440216,330.036377,139.2615967,182.6900024,45.82245255,103.1716843,,145.1199951,238.2359009,217.6579132,173.2651672,116.501091,55.8706398,139.8334045,128.2997131,52.85620117,200.0003052,165.8476715,80.65393829,162.3466949,101.3986282,118.7022934,131.4626465,290.9075317,197.8011169,53.94514465,49.12267303,111.3753662
17/01/2020,78.3012619,224.2036591,127.4842606,322.2328186,140.1530762,182.2299957,45.79442596,102.0154266,,144.3300018,237.987854,220.5971527,174.1872711,116.779747,55.81445313,140.748642,129.1877441,52.96782684,201.0721283,166.1592255,80.46819305,163.2552795,102.536499,119.0224228,133.24263,288.7117004,201.4923553,54.36102295,49.11364365,110.4720764
21/01/2020,77.77061462,220.5921478,126.5246277,311.516571,138.3226776,185.2700043,45.58890533,100.0118256,,143.5599976,234.4007263,221.5864105,172.0007935,117.5058517,56.70411301,140.8430023,127.9164352,53.18177795,200.2943268,164.3634033,79.58363342,162.6690979,102.5855408,118.7211151,133.4130249,290.7043762,204.0417633,54.53278351,48.62620544,111.0774689
22/01/2020,78.0482254,219.802948,127.4551926,307.1724243,135.2688599,182.75,45.84114456,99.64995575,,144.0099945,235.6886749,221.5388489,171.1642303,121.4910965,58.7456398,139.8805695,127.766861,53.59108734,200.5599365,163.1173096,79.30057526,161.8874969,102.4972458,118.9282684,133.8201447,290.7624207,204.6421967,54.6774292,48.22000504,111.5675735
23/01/2020,78.42410278,218.2153931,127.3388367,315.9104309,135.3826294,183.9799957,45.77574921,99.82646942,,142.1999969,234.2862701,222.2522736,170.7174377,120.6299057,59.29816818,140.1447754,127.6360092,53.79574585,202.4380341,162.8516083,78.33639526,162.8840485,101.0552902,118.3845901,127.0505676,289.669342,203.283844,54.70455551,48.11169815,111.288887
24/01/2020,78.19807434,209.441864,130.9640808,321.1393127,133.134964,182.1100006,45.63561249,98.72318268,,140.0800018,230.7945862,220.6827545,168.3883514,118.6794815,64.12106323,139.9466553,124.4670715,53.65621185,200.370224,163.2272491,76.05425262,161.2426758,100.0841751,118.5266724,127.6091995,283.2367554,201.7876282,54.49662781,46.97434235,109.9051132
27/01/2020,75.89864349,206.990799,126.631279,314.727478,128.7249756,180.7100067,44.3464241,97.43452454,,135.8999939,227.1884003,219.9122772,164.9755096,117.0414734,61.51763916,140.352356,123.420105,53.47015762,198.5679779,160.9183502,76.16040039,158.5461884,98.32830811,119.0476151,126.6150131,274.8018799,198.5295258,54.16212082,47.14584732,111.3369446
28/01/2020,78.04577637,208.7455139,128.3857117,314.6877136,129.6828613,182.8500061,44.62668228,98.07884979,,138.3699951,231.4242096,222.4520264,166.8007813,117.8266983,63.03473282,141.0600128,125.6635895,53.03294754,199.5639343,151.7101898,76.29308319,161.6530151,98.49506378,119.3696365,127.2399063,276.5236816,199.6713257,54.87632751,47.64230347,112.0480347
29/01/2020,79.67945862,210.890152,127.639328,320.115387,128.7723846,181.7700043,43.9540596,97.41687775,,136.0599976,229.0773468,222.6042175,167.000412,116.2562408,62.11698914,142.041275,125.4766388,53.03294754,203.4055634,148.4300537,77.1687851,164.1736298,97.93592072,118.4508972,126.1795044,273.6508179,201.6498108,53.81858063,47.19098282,111.3657608
30/01/2020,79.56398773,209.9617462,129.1321106,321.3878174,128.3835297,185.6699982,44.13155365,98.3259964,,137.8099976,232.9029236,221.4342194,169.5386047,115.4794617,62.24809647,141.87146,127.0283813,54.75389481,205.056015,148.8973541,76.51422119,168.8046265,96.31741333,119.293869,127.0600281,271.7935791,204.9473419,53.66489029,46.89310074,112.0288391
